"Bitcoin","Ethereum"
47313.3514285714,3401.12439110689
47243.9302334575,3394.59812171446
47197.2714285714,3388.81980490376
47207.9457142857,3386.16019331138
47206.3471428572,3381.04851383879
47224.8057142857,3342.82
47197.9257142857,3336.38571428571
47188.6542857143,3329.89666666667
47159.3142857143,3328.00833333333
47149.3985714286,3329.11285714286
47131.3357142857,3329.83571428571
47092.1057142857,3325.97857142857
47086.5671428571,3323.17666666667
47148.2128571429,3321.69142857143
47153.1985714286,3319.61571428571
47092.4085689486,3318.92
47091.8787206571,3311.30857142857
47087.2894558171,3308.54571428571
47079.0742857143,3316.91
47055.5,3314.18571428571
46961.3271428571,3311.35
46958.9275,3310.90833333333
46900.0061967338,3310.45666666667
46960.0714285714,3309.28333333333
46913.8257142857,3305.99142857143
46903.1171428571,3298.79
46885.41875,3298.68142857143
46966.5671428571,3286.58857142857
46929.5628571429,3293.14333333333
46847.3871428571,3287.92428571429
46839.3342857143,3284.75142857143
46861.8314285714,3276.38428571429
46911.51,3284.74
46957.2114285714,3280.74
46886.9575,3272.99571428571
46900.3614285714,3272.17142857143
46907.94,3273.61857142857
46959.4757142857,3279.47714285714
47045.4642857143,3287.54857142857
47008.9457142857,3278.07571428571
47041.5671428571,3277.66142857143
47036.4628571429,3280.83
47014.2514285714,3286.71714285714
47035.4371428571,3289.74
46990.5128571429,3287.53428571429
46998.2785714286,3287.22428571429
46974.7985714286,3286.47714285714
46959.8317766386,3284.56142857143
46934.965,3287.90666666667
46903.6,3283.97714285714
46874.7428571429,3286.16142857143
46893.0842857143,3286.64714285714
46948.5428571429,3285.48142857143
46940.2983333333,3282.75142857143
46892.1153033643,3279.86714285714
46971.0742857143,3277.01857142857
46938.7371428571,3278.68333333333
46928.9027149571,3282.06285714286
46990.84,3283.76666666667
46940.38,3279.40571428571
46965.2357142857,3288.70428571429
46980.55375,3282.43285714286
47052.2585714286,3279.05
47048.7557142857,3283.77833333333
47100.34875,3278.28571428571
47089.54125,3279.66857142857
47081.8557142857,3283.62571428571
47099.57,3292.77571428571
47096.8043013057,3292.50142857143
47071.5314285714,3299.15142857143
47047.0585714286,3297.85571428571
47034.29,3298.89772140667
47032.8166666667,3303.36428571429
47046.1971428571,3302.44
47097.4916596871,3300.45857142857
47089.7485714286,3296.51
47081.52,3296.26571428571
47077.4257142857,3295.82714285714
47018.4871428571,3297.97857142857
47026.0257142857,3303.545
47043.4128571429,3304.52833333333
47045.7085714286,3303.19285714286
47053.1028571429,3301.20142857143
47137.0785714286,3294.73227331714
47158.3857142857,3295.54857142857
47150.4757142857,3296.23
47114.4857142857,3296.44671604714
47092.0691978,3297.80166666667
47104.9985277029,3301.85571428571
47105.4247974857,3303.97801185143
47116.2926968686,3305.26166666667
47104.8142857143,3301.27571428571
47087.54817242,3299.63
47089.2643547914,3300.69142857143
47150.07,3302.40094615429
47166.3957142857,3302.27285714286
47167.6931168829,3302.95
